"Model","Accuracy","Sensitivity","Specificity","AUC"
"Logistic Regression",0.843137254901961,0.885714285714286,0.797979797979798,0.928619528619529
"KNN (K=3)",0.877450980392157,0.838095238095238,0.919191919191919,0.985906685906686
